
#####
##### DOWNLOADS
#####

# 2016-06-29
Item,Value,Value Percent,Conversions,Conversion Percent,URL,Stats URL
"The Essential Leonard E. Read (epub)",2433,24.7,,,"https://fee.org/media/15578/theessentialleonarderead.epub","http://clicky.com/stats/visitors?site_id=100931785&date=2016-06-29&href=https%3A%2F%2Ffee.org%2Fmedia%2F15578%2Ftheessentialleonarderead.epub"
"The Essential Ludwig von Mises (epub)",1938,19.7,,,"https://fee.org/media/15579/theessentialludwigvonmises.epub","http://clicky.com/stats/visitors?site_id=100931785&date=2016-06-29&href=https%3A%2F%2Ffee.org%2Fmedia%2F15579%2Ftheessentialludwigvonmises.epub"
"The Essential F. A. Hayek (epub)",1827,18.6,,,"https://fee.org/media/15580/theessentialfahayek.epub","http://clicky.com/stats/visitors?site_id=100931785&date=2016-06-29&href=https%3A%2F%2Ffee.org%2Fmedia%2F15580%2Ftheessentialfahayek.epub"
"The Essential Henry Hazlitt (epub)",1656,16.8,,,"https://fee.org/media/15577/theessentialhenryhazlitt.epub","http://clicky.com/stats/visitors?site_id=100931785&date=2016-06-29&href=https%3A%2F%2Ffee.org%2Fmedia%2F15577%2Ftheessentialhenryhazlitt.epub"
"The Essential Frederic Bastiat (epub)",1636,16.6,,,"https://fee.org/media/15576/theessentialfredericbastiat.epub","http://clicky.com/stats/visitors?site_id=100931785&date=2016-06-29&href=https%3A%2F%2Ffee.org%2Fmedia%2F15576%2Ftheessentialfredericbastiat.epub"
"Economics In One Lesson (PDF)",66,0.7,,,"https://fee.org/media/14946/economicsinonelesson.pdf","http://clicky.com/stats/visitors?site_id=100931785&date=2016-06-29&href=https%3A%2F%2Ffee.org%2Fmedia%2F14946%2Feconomicsinonelesson.pdf"
"Download the PDF",58,0.6,,,"https://fee.org/media/13602/great-myths-of-the-great-depression.pdf","http://clicky.com/stats/visitors?site_id=100931785&date=2016-06-29&href=https%3A%2F%2Ffee.org%2Fmedia%2F13602%2Fgreat-myths-of-the-great-depression.pdf"
"Economics In One Lesson (MP3)",30,0.3,,,"https://fee.org/media/14947/economicsinonelesson.mp3","http://clicky.com/stats/visitors?site_id=100931785&date=2016-06-29&href=https%3A%2F%2Ffee.org%2Fmedia%2F14947%2Feconomicsinonelesson.mp3"
"Download for Kindle (MOBI)",23,0.2,,,"https://fee.org/media/11903/reed-greatmyths-9781572460454-v2.mobi","http://clicky.com/stats/visitors?site_id=100931785&date=2016-06-29&href=https%3A%2F%2Ffee.org%2Fmedia%2F11903%2Freed-greatmyths-9781572460454-v2.mobi"
"Download for iPad and Nook (ePub)",20,0.2,,,"https://fee.org/media/12186/reed-greatmyths.epub","http://clicky.com/stats/visitors?site_id=100931785&date=2016-06-29&href=https%3A%2F%2Ffee.org%2Fmedia%2F12186%2Freed-greatmyths.epub"
"Listen to the Audiobook",19,0.2,,,"https://s3.amazonaws.com/fee-misc/files/audiolib/great-myths-full.mp3","http://clicky.com/stats/visitors?site_id=100931785&date=2016-06-29&href=https%3A%2F%2Fs3.amazonaws.com%2Ffee-misc%2Ffiles%2Faudiolib%2Fgreat-myths-full.mp3"
"I, Pencil (PDF)",14,0.1,,,"https://fee.org/media/14940/read-i-pencil.pdf","http://clicky.com/stats/visitors?site_id=100931785&date=2016-06-29&href=https%3A%2F%2Ffee.org%2Fmedia%2F14940%2Fread-i-pencil.pdf"
"Great Myths of the Great Depression (PDF)",7,0.1,,,"https://fee.org/media/14903/read-greatmyths.pdf","http://clicky.com/stats/visitors?site_id=100931785&date=2016-06-29&href=https%3A%2F%2Ffee.org%2Fmedia%2F14903%2Fread-greatmyths.pdf"
"Click here for a sample email for that purpose.",4,0,,,"https://fee.org/media/14088/sample-email-from-donor-informing-the-foundation-for-economic-education-new.pdf","http://clicky.com/stats/visitors?site_id=100931785&date=2016-06-29&href=https%3A%2F%2Ffee.org%2Fmedia%2F14088%2Fsample-email-from-donor-informing-the-foundation-for-economic-education-new.pdf"
"study",4,0,,,"http://marketing.wvu.edu/phd_economics/pdf/06-08.pdf","http://clicky.com/stats/visitors?site_id=100931785&date=2016-06-29&href=http%3A%2F%2Fmarketing.wvu.edu%2Fphd_economics%2Fpdf%2F06-08.pdf"
